Time (Year),EBITDA,liability
2006,1.84E+07,2.88E+08
2007,1.93E+07,2.81E+08
2008,2.02E+07,6.45E+08
2009,2.11E+07,7.23E+08
2010,2.22E+07,1.27E+09
2011,2.33E+07,1.51E+09
2012,2.45E+07,2.37E+09
2013,2.58E+07,2.07E+09
2014,2.71E+07,3.28E+09
2015,2.86E+07,2.35E+09
2016,3.02E+07,3.92E+09
2017,3.18E+07,2.67E+09
2018,3.84E+08,4.41E+09
2019,3.56E+07,2.92E+09
2020,1.06E+08,4.70E+09
2021,9.51E+06,2.89E+09
2022,2.74E+08,5.11E+09
2023,2.56E+07,2.91E+09
2024,4.11E+08,5.42E+09
2025,3.23E+07,2.71E+09
2026,5.18E+08,5.82E+09
2027,3.44E+07,2.51E+09
2028,5.79E+08,6.26E+09
2029,3.56E+07,2.19E+09
2030,6.51E+08,6.78E+09
2031,3.69E+07,1.77E+09
2032,7.32E+08,7.33E+09
2033,3.82E+07,1.16E+09
2034,8.32E+08,8.03E+09
2035,3.95E+07,4.19E+08
2036,9.57E+08,8.89E+09
2037,4.09E+07,-4.94E+08
2038,1.11E+09,9.94E+09
2039,4.23E+07,-1.66E+09
2040,1.30E+09,1.14E+10
2041,4.45E+07,-3.58E+09
2042,1.58E+09,1.27E+10
2043,4.73E+07,-5.99E+09
2044,1.93E+09,1.42E+10
2045,5.00E+07,-9.04E+09
2046,2.36E+09,1.61E+10
2047,5.25E+07,-1.27E+10
2048,2.88E+09,1.84E+10
2049,5.47E+07,-1.69E+10
2050,3.50E+09,2.16E+10
